Source,dist,R90_median (au),R90_err_16th (au),R90_err_84th (au),R68_median (au),R68_err_16th (au),R68_err_84th (au),inc (°),inc_err_16th (°),inc_err_84th (°),PA (°),PA_err_16th (°),PA_err_84th (°),M_star (Msun),M_star_err_16th (Msun),M_star_err_84th (Msun),r_l_median (au),r_l_err_16th (au),r_l_err_84th (au),z_1_median (''),z_1_err_16th (''),z_1_err_84th (''),z_q_median,z_q_err_16th,z_q_err_84th,T_10_median (K),T_10_err_16th (K),T_10_err_84th (K),T_q_median,T_q_err_16th,T_q_err_84th,tau_tap_median (au),tau_tap_err_16th (au),tau_tap_err_84th (au),tau_exp_median (au),tau_exp_err_16th (au),tau_exp_err_84th (au),tau_10_median,tau_10_err_16th,tau_10_err_84th,tau_q_median,tau_q_err_16th,tau_q_err_84th,z_exp_median,z_exp_err_16th,z_exp_err_84th,vsys (m/s),vsys_err_16th (m/s),vsys_err_84th (m/s),dRA (''),dRA_err_16th (''),dRA_err_84th (''),dDEC (''),dDEC_err_16th (''),dDEC_err_84th ('')
2MASS_J15583620-1946135,155.6,45.5859375,0.759765625,0.759765625,36.46875,0.759765625,0.759765625,45.07742109500554,1.5270366110611278,1.6140056018977447,-23.32987855309592,1.0023781620000776,1.1038878546460822,0.0675112294669926,0.004019743927388172,0.0038722649818362237,112.19817108127012,5.53672558064747,5.012253935626177,0.6626768875436905,0.08053778774873732,0.09381928204272694,1.3337452145536355,0.07502905191480513,0.07213851330674448,46.98704262162171,1.7274028526676588,1.179534951798182,-0.575320120558886,0.026673680527438903,0.03203631609887769,45.02352943972158,1.7686100150337793,1.052835636872537,37.881726444903265,13.810388649464723,8.559265183628405,9.257495861903735,0.8905890381430499,1.4386110308732292,0.028495506002966103,1.6779357223417788,0.758701038708894,5.8864356764287695,2.301268069639973,2.940068737561017,6768.044968573802,10.51335768440731,11.420773745508086,-0.2564406572080692,0.002995841224544271,0.0025160406384509004,-0.393077182050946,0.0025031843118643593,0.002228809046438296
2MASS_J15583692-2257153,166.5,158.53271484375,1.6259765625,1.6259765625,125.2001953125,1.6259765625,0.81298828125,26.347095299425348,1.2899692985379758,1.3585506641960805,168.4883462290297,0.3628015573995924,0.5296772432600676,0.6689966753842145,0.055714678566475384,0.06434975157432488,154.57981361360154,3.365322692915214,2.6472454520679776,0.46725076899585705,0.03230136512964049,0.02169034229381489,1.535134345700887,0.0935657093338329,0.07033565570016487,116.37135480500143,2.1841075801528262,2.1057277691045755,-0.6461282460435356,0.00917211366749715,0.009977060192868037,133.43890821394436,2.1844832008602566,2.022835125341487,9.46285207969612,0.5874048420353084,0.3411088450626849,4.937913385138516,0.10006258233867804,0.04667374363092147,-0.041414777632356625,0.059033354636187974,0.030852295270229715,9.32620727641643,0.9253820537925712,0.4916401900268976,7634.081590184836,5.088759091413522,5.253449923892731,-0.2935212154124986,0.0026363338919162538,0.0026832571424054708,-0.22900464193754747,0.002033677138861989,0.002117002418626973
2MASS_J16035793-1942108,152.9,54.50048828125,0.0,0.0,44.04833984375,0.0,0.0,51.285873814223145,0.023840683559733122,0.03050833626109295,1.9211905489759493,0.017257965684226217,0.012833381728078352,0.5156196772858179,0.00035534521657587526,0.000284577027784394,155.90121382155095,18.22504251213715,11.005652100081818,0.024349745331431888,0.0032276459459779604,0.0033672856599701873,1.2837838266075188,0.052117361490845004,0.04651948802266803,75.99602141276222,0.1005828459939977,0.17569673380711492,-0.5754372254580005,0.0021214867786089053,0.0011870577658446013,52.04120496250936,0.13783877278731893,0.21819831538498136,31.780022815246774,0.7424692569204794,1.287382360875668,17.677316857510874,0.040283808256290854,0.04798959643038003,-0.013252980988133833,0.02006673147037565,0.010253391596734596,1.748713543306896,0.45621442586669203,0.931467990252375,7264.880856617227,0.5149019792061154,0.7061869692024629,-0.2161695548866273,0.00012106126206345991,0.00010368492420395614,-0.4353280018517479,9.971382330364875e-05,8.869613271988985e-05
2MASS_J16052157-1821412,148.9,161.4052734375,1.4541015625,1.4541015625,126.5068359375,0.72705078125,0.72705078125,69.15952940420561,0.10379913598409019,0.1129771991856785,-23.560848006641713,0.24919428731866233,0.27686986213927156,1.1212998777530236,0.004978266414025434,0.004942337535114083,145.78751570381579,3.547764334219039,2.3203131531412,0.24015902355282065,0.018825890969804554,0.024610786273381036,1.5109139057489147,0.03642911137640037,0.03922551172601585,198.04876174600886,1.818985891775128,1.6159559962282515,-0.7231414928969373,0.004762125044986187,0.005586930084768182,133.3253612753469,3.549798002126778,5.533547042845697,8.028114689103106,0.7169319599658177,1.2481388146169046,4.9116256338506,0.05816047659454959,0.04913357343213853,-0.7787985267478685,0.26748727449945764,0.21868741379436307,5.260385207191506,0.4740113485360835,0.4245305552609757,5437.630483105698,4.114294712283481,8.345482740363877,-0.027048144306102254,0.0019198309102139849,0.001759025609575953,-0.624896959744661,0.0012027947912149894,0.0008336583130597042
2MASS_J16062383-1807183,148.6,63.8515625,2.1767578125,0.7255859375,51.5166015625,1.451171875,0.7255859375,32.517132559282665,1.8724838871972516,1.5592755991715421,191.59639050528247,1.1661686193558296,1.1071795213432267,0.054142950865014326,0.0039281115383447,0.00526824247708052,90.6444645005019,5.108621019380905,6.0632357802831365,0.22111631260827136,0.04149056527538733,0.02030329260956762,1.145194543073596,0.06429632321957479,0.0777639192235049,43.07095066460481,1.039045233819813,1.0432335589113393,-0.5066382787548767,0.021685514153894858,0.022218880949559594,52.87937354597733,1.7874377846222487,1.4316172403237104,9.402001666373868,0.7603788828919793,0.4309165745111887,4.921643837527147,0.0927965658704899,0.05825858988808008,-0.09187738485896407,0.1398255471738833,0.0679306028413619,4.965929525305896,1.8837369967407604,2.5629701126894595,5652.542729739349,6.889359541474732,7.002009744793213,-0.4042705651102829,0.0026995662097813455,0.003093596640217522,-0.5478484551667365,0.0031807151215607066,0.002940972981233969
2MASS_J16062861-2121297,139.7,55.93457031249999,0.68212890625,0.68212890625,42.97412109375,0.68212890625,0.0,33.61925732395021,1.395583311082845,1.169018061164678,252.1029420425056,0.17611656582187152,0.23732218858143028,0.5279374917344898,0.029560920901744003,0.03941892352519416,108.68385842086911,5.6545471064179935,6.190211351004606,0.3179154800327662,0.026939583854982962,0.022482884782470125,1.3055815317403736,0.049573497877592354,0.042256121807502156,86.02113213000185,1.1461338080434729,1.3682700972010053,-0.8034257852142463,0.012821153950453357,0.013080462655641778,55.244655041721174,1.255477055750461,1.20797074488339,21.423183410428024,3.6781319872155613,3.8819757623017956,3.961843899062698,0.07246486829396259,0.028652819292268816,-0.047326255837043155,0.10235507295768527,0.03571195927599743,6.513975271626014,2.0986012950389474,2.2819033315571513,3614.548956151341,8.578630677709043,8.194460588953007,-0.313511633638268,0.0017196031334497097,0.0015452569469580624,-0.4863019054727139,0.0016757272687680236,0.0015020362887972483
2MASS_J16064794-1841437,155.8,201.59667968750003,0.7607421875,0.7607421875,158.234375,0.0,0.7607421875,58.927503170414745,0.12102481918667252,0.099684517073662,199.83913504299392,0.08211121440416491,0.07235474915165696,0.8995521110095903,0.0003491794083405608,0.0002863405264990071,211.949327182207,1.3463037930908115,1.4412416308062461,0.23505289130876486,0.0028638199881559634,0.0032566788914985267,1.0396811598291396,0.00753441030835722,0.007593650052117651,130.0193658432715,0.6885464603048774,0.6068700481822589,-0.6479631187049086,0.0024718689929531523,0.0025641733274720524,170.94932277820644,0.9276800884933039,0.9140639112156634,9.742698282732809,0.19780626271595558,0.1549785443793006,4.981261862498676,0.023580061874538316,0.013485672814474547,-0.01435017711994625,0.02244937823107328,0.011035996599516918,7.053634079603615,0.4195645043221097,0.4913245811199962,7090.781993113674,2.6958808677272827,2.3721536659313642,-0.2389716830604247,0.000758281932160626,0.0008690611997042019,-0.4123195014187027,0.0009061178635993428,0.0009159040188925771
2MASS_J16095933-1800090,135.3,21.801269531250004,1.9819335937500036,5.390859374999998,15.194824218750002,1.3212890625,2.0876367187499962,30.12837564181642,3.516190412824809,3.325015347383278,-61.084984143095845,6.715114578513159,5.484645588183675,0.18282696477837898,0.04038779522742572,0.06292004097962048,77.219273236093,8.215502446585916,10.389426236775748,0.26696590018155353,0.08108202359438144,0.05683056489598676,1.145268849789862,0.10507359332676036,0.11828001139818256,77.65157417551153,6.384396805098859,5.5353200197654076,-0.8241886620052808,0.09679102298080589,0.08610001492894226,79.51755449276807,10.06519796363527,9.509420960638849,3.9095117159917816,3.02050945914518,3.3281409329509035,1.156515421132264,0.11453213520002326,0.22848327843918925,-4.597106071450616,0.2950039639752635,0.5645465159107639,5.612749709612713,2.8737425803146053,2.9605748720700653,3794.1196567674547,91.48043925173852,82.23365449335142,-0.3009482878066345,0.015914952609553112,0.019184004199959748,-0.29939601135547933,0.014731494833244707,0.012853250960305762
2MASS_J16101264-2104446,153.8,190.748046875,1.501953125,0.7509765625,150.1953125,0.7509765625,0.7509765625,57.069734232312726,0.2370705880072279,0.13057964017018264,33.88110092076384,0.11313853944914598,0.12000963700906198,1.2295966295090852,0.004021329059989753,0.0035391006498293187,129.49154187309742,2.7034733857727105,3.050369791261062,0.3129547898284981,0.020564768267825606,0.018824508811627005,1.1995274317082796,0.03323985622894865,0.029399000800985675,154.42635126170484,1.0072577524716166,1.0750154297255392,-0.663498675922459,0.003835085537108429,0.00406972974863018,160.23698715260343,3.850670982817064,2.9931238989449582,8.656843883926879,0.8612212144775633,0.709719218154234,3.980575258321628,0.013860413480843103,0.011924866552680768,-0.01779465731753046,0.011361244983071825,0.010606574465599594,4.074237039071219,0.3124195252240818,0.5610649038033726,6284.525872429853,2.289119314299569,2.371889116435341,-0.18299034152832547,0.0008424662732172128,0.0007458074306291307,-0.2972266133570226,0.0006128645065047733,0.0006556425795736232
2MASS_J16120668-3010270,131.9,245.38037109375,2.576171875,5.89943359374999,198.365234375,1.93212890625,4.61134765624999,43.72808037186321,0.6002401132346193,0.4763577941586874,43.54192644478235,0.2628772930573149,0.211287813491694,0.8376209262034466,0.01950433245023897,0.02223779066137399,224.42426542440512,4.772887488396577,2.010426309432461,0.44470333516790717,0.007696870425704827,0.004088306452411483,0.9627651156608001,0.032167674336531005,0.02316505475607633,64.39144663019707,1.0853560418625179,1.0450161757583913,-0.4624108885676008,0.006892573016812398,0.006418853887685427,199.2537919575637,5.296121597555668,4.049039741012223,8.701002899793233,1.1904099621422368,0.8242662148320292,4.993220151800233,0.011370183031387704,0.005082381664264446,-0.004062042433690837,0.008249214547171835,0.003008561118564664,9.0142067328923,3.205837846390965,0.7173061384098443,4450.854232197987,4.315124985095281,4.0374839358592,-0.31242738647926693,0.0033448709666500376,0.002652482644166232,-0.41259164960384265,0.0026991222245230095,0.0023676101595957455
