Source,z/r,z/r_16,z/r_84,Line
HD 142666,0.2,0.05,0.02,J=2-1
MY Lup,0.16,0.06,0.01,J=2-1
V4046 Sgr,0.24,0.07,0.12,J=3-2
HD 100546,0.24,0.05,0.07,J=2-1
GW Lup,0.21,0.02,0.13,J=2-1
WaOph 6,0.19,0.05,0.03,J=2-1
DoAr 25,0.25,0.06,0.04,J=2-1
Sz 91,0.22,0.1,0.05,J=3-2
CI Tau,0.24,0.04,0.07,J=3-2
DM Tau,0.53,0.09,0.04,J=2-1
IM Lup,0.34,0.11,0.08,J=2-1
GM Aur,0.35,0.11,0.06,J=2-1
AS 209,0.17,0.07,0.04,J=2-1
HD 163296,0.24,0.09,0.06,J=2-1
MWC 480,0.22,0.11,0.05,J=2-1
HD 97048,0.26,0.03,0.05,J=2-1
LkCa 15,0.26,0.03,0.04,J=2-1
HD 34282,0.46,0.14,0.04,J=2-1
PDS 70,0.32,0.06,0.01,J=2-1
