Source,Flux (Jy m/s),Flux err (Jy m/s),Flux models (Jy m/s),Flux error (Jy m/s),Absorption (m/s),Residuals
J15583620-1946135,633.5300705701738,90.13695608445,747.038645375811,10.184064469040493,-,Y
J15583692-2257153,6040.200652108704,239.48910915730676,5792.595024329239,52.01917863748804,-,Y
J16035793-1942108,989.2177303564812,70.83791930474,1724.9979214092505,45.388525133141684,-,Y
J16052157-1821412,7460.112747540821,157.19670939828336,7987.340017501376,29.55564735897633,-,N
J16062383-1807183,818.430591291204,69.73700480315539,632.8333002798713,9.751556614499691,-,Y
J16062861-2121297,1700.764886807534,78.31548424488034,1718.8667017425375,14.669448378198581,-,Y
J16064794-1841437,8819.486063638007,195.618589085691,8515.919022605689,26.05909954300205,-,N
J16095933-1800090,301.0203283082333,54.529970817116286,634.58308907635,69.81736155997527,-,Y
J16101264-2104446,8529.055997353104,251.94603416474783,8891.233694157756,23.250077768509982,-,Y
J16120668-3010270,11240.774043073345,2155.092732755,10086.049854890105,76.85325031738103,-,Y
J16123916-1859284,1770.812216078224,207.464089728941,2450.2549791162505,2.010020797207062,3900-5600,Y
J16132190-2136136,556.1249045663371,63.26730244157627,615.5477768603155,28.116374568596143,-,Y
J16140792-1938292,3022.604383342172,78.5050369864377,3059.6898174292046,13.590955644468522,-,N
J16142091-1906051,7186.108789838283,339.8742641612696,5581.47146530519,17.188360039969666,-,Y
J16145024-2100599,2107.536455169488,126.41263416145412,2379.3578854896923,29.0642059749689,-,N
J16152752-1847097,7860.781736312538,254.1373057754171,7576.59963741892,21.47466208113019,-,Y
J16181445-2319251,268.9126887687871,70.35819970854143,395.21959577858127,26.256360214531412,-,Y
J16185382-2053182,1188.5698190838866,47.60811463255281,1406.0249774042827,23.89534943608453,-,Y
J16202291-2227041,308.1662687983294,57.83963573247737,429.13145919288604,17.546002925157268,3400-4400,Y
J16202863-2442087,3914.183847661938,141.8973451378234,3525.0457145803944,13.84852089885544,-,Y
J16203960-2634284,6868.9065066362855,213.11725792957031,7008.422774629576,16.37899158981736,-,Y
J16213469-2612269,2615.6586833441097,134.1520318312743,2411.088510192484,13.180575771860504,-,N
J16215472-2752053,3213.8074821323635,61.562151733064475,3307.3031226700914,21.31566345164424,-,N
J16221532-2511349,1973.0899283178069,80.90131931944865,1911.1610987846304,13.95654611704856,-,N
J16222982-2002472,4564.529953789512,53.35433624914817,5434.284637400566,22.35851490883988,700-3000,N
J16230761-2516339,819.3426928292322,31.57920294770596,921.4624121841005,12.308557028211908,-,Y
J16253798-1943162,3854.746508547737,198.3241871002541,2902.6309927834677,17.37081038785709,-,Y
J16271273-2504017,662.6520737865471,66.65682564113362,673.4567041217517,34.64445930893504,4000-4600,Y
J16274905-2602437,2459.098139168142,89.38883259568624,2385.3265670219625,32.21394808584523,-,Y
J16293267-2543291,1459.8305422993649,47.09988130609211,1321.9985324849092,11.805058063899878,-,Y
J16395577-2347355,865.3382949187119,61.16144293618802,698.3343073418798,14.057881500559574,-,Y
J16142029-1906481,3286.280080833906,52.68063778273162,4362.252273447233,43.772595839141104,-,N
J16042165-2130284,19049.341138358595,1595.992238106524,19654.61707519726,49.9233080487611,-,N
J16012268-2408003,3494.2080385006993,256.25405751432174,1535.4374555200338,35.14113346025351,-,Y
J16145026-2332397,833.1143910898772,63.0978371384579,762.9864398986101,9.310017092674968,-,Y
J16020757-2257467,708.9303614084425,74.55365659382194,931.4657299146056,54.440810590386434,-,Y
J16121242-1907191,322.29969150115704,23.49196117281106,300.06390765309334,6.498899317532761,-,Y
